kanji,meanings
譜,musical score:music:note:staff:table:genealogy
撫,stroke:pat:smooth down
舞,dance:flit:circle:wheel
蕪,turnip
淵,abyss:edge:deep pool:the depths
弗,dollar
沸,seethe:boil:ferment:uproar:breed
糞,shit:feces:excrement
併,join:get together:unite:collective
塀,fence:wall:(kokuji)
弊,abuse:evil:vice:breakage
並,row:and:besides:as well as:line up:rank with:rival:equal
蔽,cover:shade:mantle:capsize:be ruined
瞥,glance at
偏,partial:side:left-side radical:inclining:biased
篇,volume:chapter:book:editing:compilation
編,compilation:knit:plait:braid:twist:editing:completed poem:part of a book
遍,everywhere:times:widely:generally
便,convenience:facility:excrement:feces:letter:chance
俸,stipend:salary
奉,observance:offer:present:dedicate
峰,summit:peak
峯,peak:summit
捧,lift up:give:offer:consecrate:sacrifice:dedicate
縫,sew:stitch:embroider
蓬,sagebrush:wormwood:mugwort
蜂,bee:wasp:hornet
豊,bountiful:excellent:rich
鋒,dagger:sword's point:festival car:float
暴,outburst:rave:fret:force:violence:cruelty:outrage
棒,rod:stick:cane:pole:club:line
堀,ditch:moat:canal
妹,younger sister
昧,dark:foolish
抹,rub:paint:erase
末,end:close:tip:powder:posterity
沫,splash:suds
万,ten thousand:10,000
満,full:fullness:enough:satisfy
味,flavor:taste
未,un-:not yet:hitherto:still:even now:sign of the ram:1-3PM:eighth sign of Chinese zodiac
魅,fascination:charm:bewitch
岬,headland:cape:spit:promontory
無,nothingness:none:ain't:nothing:nil:not
免,excuse:dismissal
耗,decrease
餅,mochi rice cake
也,to be (classical)
鑓,spear:javelin:(kokuji)
油,oil:fat
幽,seclude:confine to a room:deep:profound:secluded:faint:dark:tranquil:calm
悠,permanence:distant:long time:leisure
柚,citron
由,wherefore:a reason
郵,mail:stagecoach stop
翼,wing:plane:flank
来,come:due:next:cause:become
莱,goosefoot:pigweed
頼,trust:request
欄,column:handrail:blank:space
蘭,orchid:Holland
侶,companion:follower
両,both:old Japanese coin:counter for carriages (e.g., in a train):two
倫,ethics:companion
輪,wheel:ring:circle:link:loop:counter for wheels and flowers
霊,spirits:soul
廉,bargain:reason:charge:suspicion:point:account:purity:honest:low price:cheap:rested:contented:peaceful
煉,refine metals:kneading over fire
簾,bamboo screen:rattan blind
練,practice:gloss:train:drill:polish:refine
錬,tempering:refine:drill:train:polish
婁,frequently:tie
蝋,wax
論,argument:discourse
歪,warp:bend:strained:distort
丕,large:great:grand:glorious:distinguished
个,counter for articles:individual
丱,saguaro-like kanji:horn-shaped locks of hair:young:tender
丼,bowl:bowl of food
豫,relaxed:comfortable:at ease
佛,France
來,come:due:next:cause:become
俤,(kokuji)
倔,stubborn
倆,skill
假,temporary:interim:assumed (name):informal
儂,I:my:he:his:me (used by old people)
兩,old Japanese coin:both:counter for vehicles:two
冉,red:tan
冓,put together:inner palace
冲,offing:open sea:rise high into sky
剏,begin:be damaged:break:fall
剌,opposed:biased
剩,leftovers:residue:remains
勳,meritorious deed:merits:rank
匣,box
卅,thirty
丗,thirty
卍,swastika:gammadion:fylfot
吽,bark:growl
呷,sip:noisy:quack
呻,moan:groan
咄,exclamation of surprise:cry out (in anger):scold:talk:chat
哄,resound:reverberate
喘,pant:gasp:breathe hard
喇,chatter:rattle on
嗽,rinse:wash:gargle
嘸,how:indeed:I dare say
嘯,roar:howl:recite emotionally:feign indifference
坏,bowl
垪,used in proper names
堙,close up:stop up
墟,ruins
壙,hole
壤,soil:loam:earth:rich
妍,beauty:splendor
娉,ask after a woman's name:marry a woman:good-looking
媚,flatter:humor:flirt
媾,association:intimacy
嫂,elder brother's wife
嫩,young:weak
嬋,beautiful
嬾,lazy:languid
孃,girl:Miss:daughter
孺,child
屏,wall:fence
岫,gorge:ravine:in the mountains:cape:promontory
岼,level spot part-way up a mountain:(kokuji)
崋,name of mountain
崛,high & lofty (mountains)
崙,place name
崘,Kunlun mountains in Jiangsu
嵋,place name
廡,walking under the eaves
廸,path:way:guide:lead:proceed:advance:reach:arrive
彈,bullet:twang:flip:snap
彌,extensive:full:fill:complete
彿,dimly
徠,induce:encourage to come
忸,shame
怎,why:how
怫,anger
恆,constant:regular:persistent
悚,fear
惠,blessing:grace:favor:kindness
慊,satisfaction
慟,be sad:grieve
憖,thoughtlessly
憚,hesitate:shrink:awe
懣,worry:agony:anger
懶,languid:be lazy:be negligent
戰,war:fighting:battle
扁,level:small
抔,and so forth
抻,stretch:extend
拌,stir and mix
拂,clear out:sweep away
拱,arch:fold arms
搜,search:seek:investigate
捶,strike:whip:slap
揀,select
搴,take:hoist:pull out:shrink
搆,pull:cause
舉,raise:plan:project:behavior:actions
收,income
攸,relaxed:at ease:place
敕,an imperial order or decree
敝,be worn-out:be dilapidated:be defeated
數,number:strength:fate:law:figures
斷,sever:cut off:interrupt
曄,shine:flourishing
曩,before:preceding:earlier:former:past:previously
朏,new moon:crescent moon
朮,a type of millet:a type of herb
朿,thorn
柞,type of oak
柮,to cut:a stump
棘,thorn:splinter:spine:biting words:briers
棗,jujube
椪,name of a place in India:Poona
椣,type of deciduous birch tree:(kokuji)
棆,camphor tree
寨,fort
樓,tower:turret
飮,drink
歉,insufficiency:lack:shortage
洙,name of a Chinese river
涕,tears:sympathy
渊,edge
淒,bitter cold:miserable:dreary
淪,sink:ripple
溂,opposed:biased
溏,mud
澑,slide:glide:slip:slippery
濂,name of Chinese river
濔,much:many
瀑,waterfall
瀟,pure:clean
瀰,copious flow:broad:extensive
瀾,large waves
炸,frying:explosion
烽,signal fire
熏,smoke:fog:vapor:cure
燻,smoulder:fume:oxidize
燼,embers
爛,be sore:inflamed:bleary:fester
狃,get used to:learn
狆,Pekinese dog:Japanese spaniel
狎,get used to:experienced:tamed
狒,baboon
璢,precious stone
瑕,flaw:blemish
瑾,jewel
畍,circle:world
畊,plow:cultivate
疥,scabby eruption
痞,constipation:costiveness in chest or intestines
瘻,fistula
眛,dark
睇,looking askance at
睫,eyelashes
瞞,deception
瞶,see everything
矗,luxuriance
祟,curse:haunt
祚,imperial throne:happiness
禪,Zen Buddhism:silent meditation
禮,social custom:manners:courtesy:rites
禳,exorcise:drive away
秉,take:cherish:sheaf:unit of volume (10 koku; 1,800 l)
秣,fodder
稱,call:name:brand:address:say
穰,abundance
穽,sunken trap
窶,emaciated
竦,crouch:cower
笨,coarse
笄,hairpin:crossbar of anchor:metal rod on sheath
筰,bamboo rope
筱,dwarf bamboo:diminutive in person's name
篝,campfire:fishing fire:beacon basket
篳,fence
簍,bamboo basket
簣,earth-carrying basket
簫,pan pipes:flute
籟,rattling of the wind
籥,three-holed flute
糶,auction
絆,bonds:fetters
絣,splashed pattern (on cloth)
綸,thread:silk cloth
綰,bend around
緞,damask
縣,county:district:subdivision
縋,cling:hang on:depend
縷,thread
繖,parasol:umbrella
繼,succeed:inherit:patch:graft (tree)
罘,rabbit catching net
翩,fluttering of flag
耘,weed
耙,forked hoe
耜,plough
耡,plough:spade
耨,hoe
聘,invite
胛,shoulder blade
胙,offerings to gods
胄,lineage:bloodline
胚,embryo
胖,half a sacrifice:ribs:abundant:plentiful
脯,dried meat
腆,much:abundant:kind:considerate
胼,callus:corn
舳,bow:prow
艚,boat
苡,adlay:plantain
苒,flourishing:luxuriant
茉,jasmine
茱,river ginger tree:oleaster
菫,the violet
萋,luxuriant growth:beautiful
葭,reed
葮,rose of Sharon:althea
蒹,type of reed
蕀,milwort
蕭,a weed:mugwort:lonely:silent:calm
薛,type of mugwort
藪,thicket:bush:underbrush:grove
藉,carpet:lend:borrow:make excuses:spread out
藕,lotus:lotus root:arrowroot
藾,type of mugwort:cover:hide
乕,tiger:brave:fierce:surname
蚓,earthworm
蚌,clam
蚰,millipede
蛬,cricket
蛛,spider
蝙,bat
螻,mole cricket
蠹,moth:insects which eat into clot
衄,nosebleed
袢,summer kimono:short clothing
裲,ancient robe
褄,skirt:(kokuji)
褊,narrow:small
襄,rise:raise
褸,rags
覯,happening to meet
誅,death penalty
誄,condolence message
諫,admonish:dissuade
諞,flattering:glibness
謇,stutter:speak frankly
譁,noisy
譴,reproach
讓,allow:permit:yield:concede
賽,dice:temple visit
賺,coax
贐,going away present:parting gift
赧,get red
赳,strong and brave
跚,stagger:reel:stumble
踈,neglect:careless:lax
踵,heel
蹇,cripple
蹕,one who preceeds king in procession
躰,the body:substance:object:reality
軆,body:group:class:unit
輛,counter for large vehicles
輌,numerary adjunct for vehicles
輾,squeak
辣,pungent:spicy:harsh:cruel:severe
迚,some way or other:very:(kokuji)
迪,edify:way:path
邇,approach:near:close
迸,gush out:spurt
遐,distant
遘,meet
鄲,place name
醋,vinegar
醴,sweet sake
醺,hunger
釀,brew:cause
釉,glaze:enamel
釐,few:tenth of a bu
鈕,button
鉞,battleaxe
銖,measuring unit, 1/16 of a ryou:percent:small:slight
錏,armour havelock:helmet neck guard
鍜,armour neck plates
鎭,ancient peace-preservation centers
鏤,inlay:set:mount
鑰,lock
閘,water gate:lock
閧,war cry
闌,rise high:be well along
陲,boundary
霰,hail:hailstones:small cubes
靺,leather tabi:Tungusic tribe
鞣,tanned leather
顆,grain (e.g. rice)
餠,rice cake
饉,hunger
饋,give:provide:offer
饌,food:offering
駲,horse's buttocks:horse's tail
騁,run fast:gallop:as one pleases
駢,two-horse carriage
騙,deceive
騫,lift up:err:hopping
驥,fast horse:talent
驤,lift one's head
髏,skull
體,the body:substance:object:reality
髯,beard:mustache
髴,dimly
髷,topknot
鬨,fight:war cry
魎,spirits of trees and rocks
鮓,sushi:seasoned rice
鰕,shrimp:prawn:lobster
鰊,herring
鰥,widower:unmarried man
鰤,yellowtail
鰰,sandfish:(kokuji)
鱧,conger:sea eel
鵲,magpie
鶇,thrush
鶫,thrush:(kokuji)
黜,draw back
鼬,weasel:skunk:ermine
槇,twig:Chinese black pine
浦,bay:creek:inlet:gulf:beach:seacoast
永,eternity:long:lengthy
泳,swim
詠,recitation:poem:song:composing
往,journey:travel:chase away:let go:going:before:formerly
欧,Europe
殴,assault:hit:beat:thrash
鴎,seagull
蒲,bullrush:flag:cattail
釜,kettle:cauldron:iron pot
鎌,sickle:scythe:trick
寒,cold
丸,round:full (month):perfection:-ship:pills:make round:roll up:curl up:seduce:explain away
機,loom:mechanism:machine:airplane:opportunity:potency:efficacy:occasion
気,spirit:mind:air:atmosphere:mood
稀,rare:phenomenal:dilute (acid)
偽,falsehood:lie:deceive:pretend:counterfeit:forgery
及,reach out:exert:exercise:cause
救,salvation:save:help:rescue:reclaim
求,request:want:wish for:require:demand
球,ball:sphere
兇,wickedness
凶,villain:evil:bad luck:disaster
恐,fear:dread:awe
挟,pinch:between
狭,cramped:narrow:contract:tight
胸,bosom:breast:chest:heart:feelings
玉,jewel:ball
禽,bird:captive:capture
区,ward:district
躯,body:corpse:tree with rotten core
駆,drive:run:gallop:advance:inspire:impel
犬,dog
国,country
叉,fork in road:crotch
肴,accompaniment for drinks
殺,kill:murder:butcher:slice off:split:diminish:reduce:spoil
桟,scaffold:cleat:frame:jetty:bolt (door)
残,remainder:leftover:balance
似,becoming:resemble:counterfeit:imitate:suitable
執,tenacious:take hold:grasp:take to heart
勺,ladle:one tenth of a go:dip
尺,shaku:Japanese foot:measure:scale:rule
杓,ladle:scoop
灼,miraculous
酌,bar-tending:serving sake:the host:draw (water):ladle:scoop:pump
釈,explanation
主,lord:chief:master:main thing:principal
就,concerning:settle:take position:depart:study:per
蹴,kick
住,dwell:reside:live:inhabit
塾,cram school:private school
熟,mellow:ripen:mature:acquire skill
術,art:technique:skill:means:trick:resources:magic
述,mention:state:speak:relate
丈,length:ten shaku:measure:Mr.:Ms.:height:stature:all (one has):only:that's all:merely
刃,blade:sword:edge
尽,exhaust:use up:run out of:deplete:befriend:serve
靭,soft:pliable:quiver
勢,forces:energy:military strength
斥,reject:retreat:recede:withdraw:repel:repulse
浅,shallow:superficial:frivolous:wretched:shameful
賎,despise:low-life:poverty
践,tread:step on:trample:practice:carry through
銭,coin:.01 yen:money
訴,accusation:sue:complain of pain:appeal to
双,pair:set:comparison:counter for pairs
太,plump:thick:big around
汰,washing:sieving:filtering:weeding out:luxury
駄,burdensome:pack horse:horse load:send by horse:trivial:worthless
丹,rust-colored:red:red lead:pills:sincerity
築,fabricate:build:construct
筑,an ancient musical instrument
昼,daytime:noon
柱,pillar:post:cylinder:support
注,pour:irrigate:shed (tears):flow into:concentrate on:notes:comment:annotate
註,notes:comment:annotate
駐,stop-over:reside in:resident
掴,catch:seize:grasp:hold:arrest:capture
釣,angling:fish:catch:allure:ensnare
的,bull's eye:mark:target:object:adjective ending
冬,winter
忍,endure:bear:put up with:conceal:secrete:spy:sneak
認,acknowledge:witness:discern:recognize:appreciate:believe
葱,stone leek:Welsh onion
熱,heat:temperature:fever:mania:passion
之,of:this
博,Dr.:command:esteem:win acclaim:Ph.D.:exposition:fair
薄,dilute:thin:weak (tea):pampas grass
縛,truss:arrest:bind:tie:restrain
帆,sail
汎,pan-
泌,ooze:flow:soak in:penetrate:secrete
秘,secret:conceal
柊,holly
氷,icicle:ice:hail:freeze:congeal
豹,leopard:panther
敷,spread:pave:sit:promulgate
舗,shop:store:pave
鋪,shop:store
圃,garden:field
捕,catch:capture
甫,for the first time:not until
補,supplement:supply:make good:offset:compensate:assistant:learner
輔,help
簿,register:record book
宝,treasure:wealth:valuables
乏,destitution:scarce:limited
凡,commonplace:ordinary:mediocre
密,secrecy:density (pop):minuteness:carefulness
蜜,honey:nectar:molasses
尤,reasonable:just:natural:superb:outstanding:plausible
籾,unhulled rice:(kokuji)
匁,monme:3.75 grams:(kokuji)
約,promise:approximately:shrink
訳,translate:reason:circumstance:case
猷,plan:scheme:plot:way
卵,egg:ovum:spawn:roe
吏,officer:an official
梁,weir:fish trap:beam:girder
鷲,eagle
亙,range:reach:extend:cover
仞,fathom
仭,fathom
偬,feel pain:suffer
傅,tutor
兔,rabbit:hare
冤,false charge:hatred
劔,sword
劒,sword
剱,sword
匆,rush:hurry:be flustered
匍,crawl:creep
厖,large:mix
咏,recitation:poem:song:composing
哺,nurse:suckle
囈,foolish talk
埔,used in Chinese place names
妁,go-between
孰,which:how:who
孵,hatch:incubate
寃,grievance:injustice:wrong
尨,shaggy hair or dog
巉,rising precipitously:rising steeply
怱,rush:hurry:be flustered
怺,endure:(kokuji)
愡,meaningless:foot race
愽,grieving
戍,protection
扠,well:now
扨,well:now:(kokuji)
拔,extract:pull out:pilfer:quote:remove:omit
拆,to split apart:to break up:to open
掖,side (of body):carry under arm
搏,seize:spring upon:strike
摯,gift:seriousness
昶,long day:clear
柝,sounding sticks
梵,Sanskrit:purity:Buddhist
榑,unbarked lumber
樒,tree whose branches are placed on Buddhist graves
櫁,Japanese star anise
樣,Esq.:way:manner:situation:polite suffix
毬,burr:ball
泝,go upstream
溥,far and wide
漾,drift:flow
澀,astringent:harsh:uneven:rough
瀛,ocean:swamp
炙,roast:broil:toast:cauterize
犹,condition
瑟,large koto
疣,wart
疼,ache:pain:tingle:fester
祕,mysterious:secret:abstruse
祓,exorcise
秡,damaged grain
笂,quiver:arrow holder:(kokuji)
筺,bamboo basket
簗,weir:fish trap:(kokuji)
綛,splashed dye pattern:reel:skein:(kokuji)
网,net:net or net crown radical (no. 122)
羸,thin:weak
肬,wart:tumor:goiter:papule
脉,vein (blood, ore):pulse:hope
膊,arm
舖,shop:store
芍,peony
苳,butterbur:bog rhubarb
荵,hare's foot fern
葯,pollen pod at tip of stamen:type of tall grass
葢,cover:lid:flap
藝,art:craft:performance:acting:trick:stunt
蛩,cricket
螽,grasshopper
蟄,hibernation of insects
衂,nosebleed
裘,leather clothing
褻,filthy
謐,quiet
譏,slander:disparage:censure:criticize
賻,condolence gift
贄,offering:sacrifice
跋,epilogue:postscript
跫,sound of footsteps
逑,pair:gather:meet
逋,flee
釼,sword:dagger:saber
釵,ornamental hairpin
靫,quiver
鞏,hard:firm
餔,eat:late afternoon meal
饑,hunger:thirst
騷,harass:bother:annoy:disturb:agitate:sad:grieved
魃,(god of) drought
鯆,type of herring
鷙,bird of prey:desolate:rough:daring:bravery
麈,moose:priest's horsehair flapper:elk
黻,lap robe:embroidery pattern
黼,embroidery
遙,far off:distant:long ago
瑤,beautiful (as a jewel)
葵,hollyhock
夷,barbarian:savage:Ainu
威,intimidate:dignity:majesty:menace:threaten
為,do:change:make:benefit:welfare:be of use:reach to:try:practice:cost:serve as:good:advantage:as a result of
郁,cultural progress:perfume
磯,seashore:beach
逸,deviate:idleness:leisure:miss the mark:evade:elude:parry:diverge
淫,lewdness:licentiousness
隠,conceal:hide:cover
右,right
映,reflect:reflection:projection
洩,leak:escape
瑛,sparkle of jewelry:crystal
盈,fullness:enough:pride:satisfy
英,England:English:hero:outstanding:calyx
援,abet:help:save
央,center:middle
卸,wholesale
禾,two-branch tree radical (no. 115)
括,fasten:tie up:arrest:constrict
活,lively:resuscitation:being helped:living
勧,persuade:recommend:advise:encourage:offer
感,emotion:feeling:sensation
憾,remorse:regret:be sorry
看,watch over:see
希,hope:beg:request:pray:beseech:Greece:dilute (acid):rare:few:phenomenal
幾,how many:how much:how far:how long:some:several
杵,wooden pestle
久,long time:old story
吸,suck:imbibe:inhale:sip
汲,draw (water):ladle:scoop:pump
笈,backpack bookcase
級,class:rank:grade
許,permit:approve
僑,temporary home
喬,high:boasting
橋,bridge
矯,rectify:straighten:correct:reform:cure:control:pretend:falsify
蕎,buckwheat
君,mister:you:ruler:male name suffix
係,person in charge:connection:duty:concern oneself
刑,punish:penalty:sentence:punishment
型,mould:type:model
形,shape:form:style
携,portable:carry (in hand):armed with:bring along
系,lineage:system
荊,thorn:brier:whip
懸,state of suspension:hang:depend:consult:distant:far apart
乎,question mark:?
呼,call:call out to:invite
午,noon:sign of the horse:11AM-1PM:seventh sign of Chinese zodiac
御,honorable:manipulate:govern
乞,beg:invite:ask
后,empress:queen:after:behind:back:later
垢,dirt:grime:earwax
宏,wide:large
更,grow late:night watch:sit up late:of course:renew:renovate:again:more and more:further
梗,for the most part:close up:flower stem
浩,wide expanse:abundance:vigorous
硬,stiff:hard
紘,large
肱,ability:talent:elbow:arm
告,revelation:tell:inform:announce
酷,cruel:severe:atrocious:unjust
鵠,swan
佐,assistant:help
嵯,steep:craggy:rugged
左,left
差,distinction:difference:variation:discrepancy:margin:balance
沙,sand
瑳,polish:brilliant white luster of a gem:artful smile
砂,sand
裟,Buddhist surplice
才,genius:years old:cubic shaku
歳,year-end:age:occasion:opportunity
砕,smash:break:crush:familiar:popular
際,occasion:side:edge:verge:dangerous:adventurous:indecent:time:when
材,lumber:log:timber:wood:materials:ingredients:talent
財,property:money:wealth:assets
察,guess:presume:surmise:judge:understand
擦,grate:rub:scratch:scrape:chafe:scour
薩,salvation:Buddha
産,products:bear:give birth:yield:childbirth:native:property
使,use:send on a mission:order:messenger:envoy:ambassador:cause
史,history:chronicle
施,give:bestow:perform:alms
七,seven
失,lose:error:fault:disadvantage:loss
悉,all:entirely:altogether:completely:use up:run out of:exhaust:befriend:serve
紗,gauze:gossamer
若,young:if:perhaps:possibly:low number:immature
惹,attract:captivate
寿,longevity:congratulations:one's natural life
春,springtime:spring (season)
傷,wound:hurt:injure:impair:pain:injury:cut:gash:scar:weak point
升,measuring box:1.8 liter
少,few:little
承,acquiesce:hear:listen to:be informed:receive
抄,extract:selection:summary:copy:spread thin
昇,rise up
渉,ford:go cross:transit:ferry:import:involve
省,focus:government ministry:conserve
称,appellation:praise:admire:name:title:fame
丞,help
城,castle
杖,staff:cane
蒸,steam:heat:sultry:foment:get musty
飾,decorate:ornament:adorn:embellish
榛,hazelnut:filbert
秦,Manchu dynasty:name given to naturalized foreigners
壬,9th calendar sign
訊,request:question:investigate
随,follow:though:notwithstanding:while:during:both:all:obey:submit to:comply:at the mercy of (the waves)
髄,marrow:pith:essence
雀,sparrow
制,system:law:rule
成,turn into:become:get:grow:elapse:reach
盛,boom:prosper:copulate
